item,occurrence,key,line,kind,token,clause
29,1,29#1,164,code,E2,"M=3 and below are excluded on estimator feasibility, since E2 cannot form non-overlapping subsamples in a three-observation window and E4's quarticity is worthless there."
29,1,29#1,164,code,E4,"M=3 and below are excluded on estimator feasibility, since E2 cannot form non-overlapping subsamples in a three-observation window and E4's quarticity is worthless there."
29,1,29#1,164,number,29,29.
29,1,29#1,164,number,5,"The M grid is extended below the S05 range to M of 5, 6 and 10 where session length divides exactly."
29,1,29#1,164,number,6,"The M grid is extended below the S05 range to M of 5, 6 and 10 where session length divides exactly."
29,1,29#1,164,number,10,"The M grid is extended below the S05 range to M of 5, 6 and 10 where session length divides exactly."
29,1,29#1,164,number,3,"M=3 and below are excluded on estimator feasibility, since E2 cannot form non-overlapping subsamples in a three-observation window and E4's quarticity is worthless there."
29,1,29#1,164,number,3,Exclusion is NOT on information grounds; M=3 implies lambda near 0.
29,1,29#1,164,number,0.30,Exclusion is NOT on information grounds; M=3 implies lambda near 0.30 and is the regime section 2.
29,1,29#1,164,number,2.1,30 and is the regime section 2.1 describes.
30,1,30#1,170,code,RTH,"Horizons 1day, 1h and 30min are all in scope for RTH."
30,1,30#1,170,code,RTH,RTH intraday carries the lowest measured lambda in the study and is not dropped for convenience.
30,1,30#1,170,name,Globex,"Globex 1h and 30min are excluded for the whole session, since their repair belongs to a later session and conditional mid-session scope expansion would not be pre-registered."
30,1,30#1,170,number,30,30.
31,1,31#1,174,code,B0,Boundary treatments B0 and B1 both run on the full grid.
31,1,31#1,174,code,B1,Boundary treatments B0 and B1 both run on the full grid.
31,1,31#1,174,code,S05,"Measured on the S05 output, switching treatments moves the fitted elasticity by a median 1."
31,1,31#1,174,number,31,31.
31,1,31#1,174,number,1.3,"Measured on the S05 output, switching treatments moves the fitted elasticity by a median 1.3 and a maximum 7."
31,1,31#1,174,number,7.4,"3 and a maximum 7.4 percent, which is not negligible relative to the differences being tested."
32,1,32#1,177,code,S05,The IC-IR column reported in S05 section 5 has no recorded definition.
32,1,32#1,177,code,S05B,S05B establishes it by source inspection.
32,1,32#1,177,number,32,32.
32,1,32#1,177,number,5,The IC-IR column reported in S05 section 5 has no recorded definition.
33,1,33#1,184,code,S05B,S05B Phase 3 places 82.
33,1,33#1,184,code,RTH,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,code,S03,"Every Globex result in S03, S04, S05 and S05B is provisional until this resolves."
33,1,33#1,184,code,S04,"Every Globex result in S03, S04, S05 and S05B is provisional until this resolves."
33,1,33#1,184,code,S05,"Every Globex result in S03, S04, S05 and S05B is provisional until this resolves."
33,1,33#1,184,code,S05B,"Every Globex result in S03, S04, S05 and S05B is provisional until this resolves."
33,1,33#1,184,name,Globex,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,name,New York,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,name,Globex,"Every Globex result in S03, S04, S05 and S05B is provisional until this resolves."
33,1,33#1,184,number,33,33.
33,1,33#1,184,number,3,S05B Phase 3 places 82.
33,1,33#1,184,number,82.4,"S05B Phase 3 places 82.4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,number,09,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,number,30,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,number,13,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,number,00,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,number,14,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,number,00,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,number,15,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
33,1,33#1,184,number,00,"4 percent of Globex zero-variance windows at or after 09:30 New York, concentrated at 13:00, 14:00 and 15:00, while every RTH cell over the same clock minutes contains none."
34,1,34#1,188,name,Globex,"Globex 1day is NOT exempt on the grounds that it contains no zero-variance windows, since it reads the same panel and a column mapping defect would displace returns without creating zeros at daily aggregation."
34,1,34#1,188,number,34,34.
35,1,35#1,194,code,S05D,S05D returned determination A.
35,1,35#1,194,code,ES,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,code,NQ,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,code,S04,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,code,R1,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,code,GLOBEX,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,code,RTH,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,name,Globex,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,name,Globex,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,number,35,35.
35,1,35#1,194,number,52,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,number,47,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,number,33,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
35,1,35#1,194,number,34,"The Globex panel is correct, the zero-variance windows are holiday early closes on the 52 ES and 47 NQ sessions S04's R1 rule retains in GLOBEX and excludes from RTH, and DECISIONS items 33 and 34 are closed with no Glob"
36,1,36#1,198,path,ES/GLOBEX/B0/1day,"439) on ES/GLOBEX/B0/1day, robust to padding exclusion at 8e-04."
36,1,36#1,198,code,ES,"439) on ES/GLOBEX/B0/1day, robust to padding exclusion at 8e-04."
36,1,36#1,198,code,GLOBEX,"439) on ES/GLOBEX/B0/1day, robust to padding exclusion at 8e-04."
36,1,36#1,198,code,B0,"439) on ES/GLOBEX/B0/1day, robust to padding exclusion at 8e-04."
36,1,36#1,198,number,36,36.
36,1,36#1,198,number,1.018,Var(log RV_M) = 1.018 + 2.
36,1,36#1,198,number,2.082,018 + 2.082 M^(-0.
36,1,36#1,198,number,8e-04,"439) on ES/GLOBEX/B0/1day, robust to padding exclusion at 8e-04."
37,1,37#1,201,code,S05E,S05E runs one before any estimator is selected or any repair is specified.
37,1,37#1,201,code,S05E,An estimator selection rule is NOT adopted until S05E returns.
37,1,37#1,201,number,37,37.
38,1,38#1,204,code,S05,"The `present` mask is not persisted in the S05 panel npz files, so padding is indistinguishable from a genuine unchanged close for any consumer of those files."
38,1,38#1,204,code,RV,65 percent of RV and 8e-04 on the fitted exponent.
38,1,38#1,204,number,38,38.
38,1,38#1,204,number,0.65,Recorded as an artifact defect; measured exposure at daily aggregation is 0.65 percent of RV and 8e-04 on the fitted exponent.
38,1,38#1,204,number,8e-04,65 percent of RV and 8e-04 on the fitted exponent.
39,1,39#1,211,code,MCS,"Forecast positivity after filtering, loss-matrix finiteness before every MCS call, lambda within [0,1], range estimators receiving high and low columns, and effective sub-bar count matching the M passed to any estimator."
39,1,39#1,211,number,39,39.
39,1,39#1,211,number,0,"Forecast positivity after filtering, loss-matrix finiteness before every MCS call, lambda within [0,1], range estimators receiving high and low columns, and effective sub-bar count matching the M passed to any estimator."
39,1,39#1,211,number,1,"Forecast positivity after filtering, loss-matrix finiteness before every MCS call, lambda within [0,1], range estimators receiving high and low columns, and effective sub-bar count matching the M passed to any estimator."
40,1,40#1,216,name,Bollerslev,"The Bollerslev, Patton and Quaedvlieg insanity filter is applied to M3_HARJ and M4_HARQ, replacing any forecast outside the range of the in-sample realized variance with the in-sample mean."
40,1,40#1,216,name,Patton,"The Bollerslev, Patton and Quaedvlieg insanity filter is applied to M3_HARJ and M4_HARQ, replacing any forecast outside the range of the in-sample realized variance with the in-sample mean."
40,1,40#1,216,name,Quaedvlieg,"The Bollerslev, Patton and Quaedvlieg insanity filter is applied to M3_HARJ and M4_HARQ, replacing any forecast outside the range of the in-sample realized variance with the in-sample mean."
40,1,40#1,216,number,40,40.
41,1,41#1,221,path,ES/GLOBEX/B1/30min,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,path,ES/GLOBEX/B0/30min,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,code,RGARCH,RGARCH IS NOT FILTERED.
41,1,41#1,221,code,ES,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,code,GLOBEX,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,code,B1,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,code,ES,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,code,GLOBEX,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,code,B0,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,code,RV,"At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,code,RGARCH,A filter would replace nearly every forecast with a constant and enter that constant into the confidence set under the name RGARCH.
41,1,41#1,221,code,S06R,"S06R diagnoses whether the estimated parameters violate stationarity, and where they do, RGARCH is reported as failing to estimate in that cell and the model set is reduced there with the reduction stated in every table."
41,1,41#1,221,code,RGARCH,"S06R diagnoses whether the estimated parameters violate stationarity, and where they do, RGARCH is reported as failing to estimate in that cell and the model set is reduced there with the reduction stated in every table."
41,1,41#1,221,number,41,41.
41,1,41#1,221,number,"69,119","At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,number,"79,538","At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,number,"21,492","At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
41,1,41#1,221,number,"21,604","At ES/GLOBEX/B1/30min M5_RGARCH returns 69,119 non-positive forecasts of 79,538, and at ES/GLOBEX/B0/30min 21,492 of 21,604 exceed one hundred times the in-sample RV mean."
42,1,42#1,228,code,RV,"Excluding on measured RV would condition the evaluation sample on the realized proxy, which is the operation this project's own second result proves is not proxy-robust."
42,1,42#1,228,code,ES,"The affected windows are the post-halt hours of the 52 ES and 47 NQ holiday sessions S05D identified, all of which are determinable from the CME calendar before the session begins."
42,1,42#1,228,code,NQ,"The affected windows are the post-halt hours of the 52 ES and 47 NQ holiday sessions S05D identified, all of which are determinable from the CME calendar before the session begins."
42,1,42#1,228,code,S05D,"The affected windows are the post-halt hours of the 52 ES and 47 NQ holiday sessions S05D identified, all of which are determinable from the CME calendar before the session begins."
42,1,42#1,228,name,CME,"The affected windows are the post-halt hours of the 52 ES and 47 NQ holiday sessions S05D identified, all of which are determinable from the CME calendar before the session begins."
42,1,42#1,228,number,42,42.
42,1,42#1,228,number,52,"The affected windows are the post-halt hours of the 52 ES and 47 NQ holiday sessions S05D identified, all of which are determinable from the CME calendar before the session begins."
42,1,42#1,228,number,47,"The affected windows are the post-halt hours of the 52 ES and 47 NQ holiday sessions S05D identified, all of which are determinable from the CME calendar before the session begins."
43,1,43#1,234,code,MCS,"M6_GK is the sole MCS survivor in most GLOBEX cells, so its construction is load-bearing for the composition result."
43,1,43#1,234,code,GLOBEX,"M6_GK is the sole MCS survivor in most GLOBEX cells, so its construction is load-bearing for the composition result."
43,1,43#1,234,number,43,43.
43,1,43#1,234,number,6,SCOPE section 6 confirms four prices per bar are held.
44,1,44#1,239,code,S01,S01's E3 ERROR-CORRELATION GATE IS RE-RUN on the corrected Parkinson and Garman-Klass series.
44,1,44#1,239,number,44,44.
44,1,44#1,239,number,0.805,The 0.805 correlation that triggered exclusion was computed on misconstructed inputs.
45,1,45#1,242,number,45,45.
46,1,46#1,246,code,S01,"E1 fails on rough volatility by S01's own record and E1_d violates the [0,1] bound at three or four of nine grid points in every 1day cell."
46,1,46#1,246,code,E2,"E2 and E4 are retained and BOTH are reported throughout, with each one's valid regime stated from the S05E control: E2 near-unbiased on clean data at mean absolute error 0."
46,1,46#1,246,code,E4,"E2 and E4 are retained and BOTH are reported throughout, with each one's valid regime stated from the S05E control: E2 near-unbiased on clean data at mean absolute error 0."
46,1,46#1,246,code,S05E,"E2 and E4 are retained and BOTH are reported throughout, with each one's valid regime stated from the S05E control: E2 near-unbiased on clean data at mean absolute error 0."
46,1,46#1,246,code,E2,"E2 and E4 are retained and BOTH are reported throughout, with each one's valid regime stated from the S05E control: E2 near-unbiased on clean data at mean absolute error 0."
46,1,46#1,246,code,E4,"25 under jumps, E4 biased upward at 0."
46,1,46#1,246,code,MCS,"No further synthetic arms are run to break the tie, since lambda does not enter the MCS at all."
46,1,46#1,246,number,46,46.
46,1,46#1,246,number,0,"E1 fails on rough volatility by S01's own record and E1_d violates the [0,1] bound at three or four of nine grid points in every 1day cell."
46,1,46#1,246,number,1,"E1 fails on rough volatility by S01's own record and E1_d violates the [0,1] bound at three or four of nine grid points in every 1day cell."
46,1,46#1,246,number,0.006,"E2 and E4 are retained and BOTH are reported throughout, with each one's valid regime stated from the S05E control: E2 near-unbiased on clean data at mean absolute error 0.006 to 0."
46,1,46#1,246,number,0.012,006 to 0.012 and degrading to 0.
46,1,46#1,246,number,0.16,012 and degrading to 0.16 to 0.
46,1,46#1,246,number,0.25,"16 to 0.25 under jumps, E4 biased upward at 0."
46,1,46#1,246,number,0.045,"25 under jumps, E4 biased upward at 0.045 to 0."
46,1,46#1,246,number,0.051,045 to 0.051 on clean data and holding at 0.
46,1,46#1,246,number,0.105,051 on clean data and holding at 0.105 to 0.
46,1,46#1,246,number,0.128,105 to 0.128 under jumps.
47,1,47#1,254,number,47,47.
47,1,47#1,254,number,96,The Part E family size of 96 comparisons is stated explicitly against the effective sample.
48,1,48#1,260,number,48,48.
49,1,49#1,263,code,IV,The fitted intercept implies Var(log IV) near 1.
49,1,49#1,263,code,RV,"02, so sd(log RV) near 1."
49,1,49#1,263,code,S06R,S06R reports the level against the sample's own volatility range.
49,1,49#1,263,number,49,49.
49,1,49#1,263,number,1.02,"The fitted intercept implies Var(log IV) near 1.02, so sd(log RV) near 1."
49,1,49#1,263,number,1.0,"02, so sd(log RV) near 1.0 and volatility ranging over a factor of about 2."
49,1,49#1,263,number,2.7,0 and volatility ranging over a factor of about 2.7 per standard deviation.
50,1,50#1,268,date,2024-01-01,Holdout boundary 2024-01-01 is unchanged and untouched.
50,1,50#1,268,number,50,50.
51,1,51#1,272,date,2020-03-09,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,date,2019-02-27,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,date,2020-07-01,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,code,S06R,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,code,S04,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,code,R2,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,number,51,51.
51,1,51#1,272,number,42,"Circuit-breaker halts are recorded in the exchange log, so excluding them uses the exchange record rather than the realized proxy and stays inside item 42."
51,1,51#1,272,number,3,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,number,03,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,number,03,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,number,03,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,1,51#1,272,number,03,"Affected sessions identified in S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
52,1,52#1,278,code,S06R,"S06R halted 8 cells because a zero in the warm-up made the lower bound zero, which admits a forecast floored at 1e-300."
52,1,52#1,278,number,52,52.
52,1,52#1,278,number,8,"S06R halted 8 cells because a zero in the warm-up made the lower bound zero, which admits a forecast floored at 1e-300."
52,1,52#1,278,number,1e-300,"S06R halted 8 cells because a zero in the warm-up made the lower bound zero, which admits a forecast floored at 1e-300."
53,1,53#1,283,code,RGARCH,"RGARCH DIAGNOSIS was run in S06R on 16 cells that exclude every GLOBEX intraday cell, which are the 8 cells where RGARCH produced up to 87 percent non-positive forecasts."
53,1,53#1,283,code,S06R,"RGARCH DIAGNOSIS was run in S06R on 16 cells that exclude every GLOBEX intraday cell, which are the 8 cells where RGARCH produced up to 87 percent non-positive forecasts."
53,1,53#1,283,code,GLOBEX,"RGARCH DIAGNOSIS was run in S06R on 16 cells that exclude every GLOBEX intraday cell, which are the 8 cells where RGARCH produced up to 87 percent non-positive forecasts."
53,1,53#1,283,code,RGARCH,"RGARCH DIAGNOSIS was run in S06R on 16 cells that exclude every GLOBEX intraday cell, which are the 8 cells where RGARCH produced up to 87 percent non-positive forecasts."
53,1,53#1,283,number,53,53.
53,1,53#1,283,number,16,"RGARCH DIAGNOSIS was run in S06R on 16 cells that exclude every GLOBEX intraday cell, which are the 8 cells where RGARCH produced up to 87 percent non-positive forecasts."
53,1,53#1,283,number,8,"RGARCH DIAGNOSIS was run in S06R on 16 cells that exclude every GLOBEX intraday cell, which are the 8 cells where RGARCH produced up to 87 percent non-positive forecasts."
53,1,53#1,283,number,87,"RGARCH DIAGNOSIS was run in S06R on 16 cells that exclude every GLOBEX intraday cell, which are the 8 cells where RGARCH produced up to 87 percent non-positive forecasts."
53,1,53#1,283,number,8,"The question is unanswered and is answered here, on those 8 cells."
54,1,54#1,286,path,ES/RTH/B0/30min,The S06R pre-specified cell ES/RTH/B0/30min stands as reported and is NOT replaced.
54,1,54#1,286,code,S06R,The S06R pre-specified cell ES/RTH/B0/30min stands as reported and is NOT replaced.
54,1,54#1,286,code,ES,The S06R pre-specified cell ES/RTH/B0/30min stands as reported and is NOT replaced.
54,1,54#1,286,code,RTH,The S06R pre-specified cell ES/RTH/B0/30min stands as reported and is NOT replaced.
54,1,54#1,286,code,B0,The S06R pre-specified cell ES/RTH/B0/30min stands as reported and is NOT replaced.
54,1,54#1,286,code,MCS,"Largest effective sample selects the cell where the MCS is most powerful and therefore narrows to a singleton under both schemes, which biases toward no difference."
54,1,54#1,286,number,54,54.
55,1,55#1,293,code,SPY,SPY REPLICATION.
55,1,55#1,293,code,SPY,"The proxy-error exponent is refitted on SPY 1-second data, ARCX."
55,1,55#1,293,code,ARCX.PILLAR,"The proxy-error exponent is refitted on SPY 1-second data, ARCX.PILLAR and XNAS."
55,1,55#1,293,code,XNAS.ITCH,PILLAR and XNAS.ITCH treated as two independent venue-level replications and never pooled.
55,1,55#1,293,code,SPY,The SPY grid spans roughly four decades of M against 2.
55,1,55#1,293,number,55,55.
55,1,55#1,293,number,1,"The proxy-error exponent is refitted on SPY 1-second data, ARCX."
55,1,55#1,293,number,2.4,The SPY grid spans roughly four decades of M against 2.4 for futures.
56,1,56#1,297,code,SPY,SPY CAVEATS FIXED IN ADVANCE.
56,1,56#1,297,code,ES,"Microstructure noise at 1-second is NOT assumed negligible, unlike ES and NQ at 1-minute; the noise correction is applied and the primary M range is restricted to grid points where the implied bias is below a stated thre"
56,1,56#1,297,code,NQ,"Microstructure noise at 1-second is NOT assumed negligible, unlike ES and NQ at 1-minute; the noise correction is applied and the primary M range is restricted to grid points where the implied bias is below a stated thre"
56,1,56#1,297,number,56,56.
56,1,56#1,297,number,33,Results are labelled two-venue and cover roughly 33 percent of consolidated volume.
56,1,56#1,297,number,1,"Microstructure noise at 1-second is NOT assumed negligible, unlike ES and NQ at 1-minute; the noise correction is applied and the primary M range is restricted to grid points where the implied bias is below a stated thre"
56,1,56#1,297,number,1,"Microstructure noise at 1-second is NOT assumed negligible, unlike ES and NQ at 1-minute; the noise correction is applied and the primary M range is restricted to grid points where the implied bias is below a stated thre"
56,1,56#1,297,number,8.3,"SCOPE section 8.3 does not gate this design because an exponent fit conditions on nothing, and the fill-versus-volatility correlation it requires is reported here as a by-product."
57,1,57#1,304,date,2024-01-01,"SPY holdout boundary is 2024-01-01, matching futures."
57,1,57#1,304,code,SPY,"SPY holdout boundary is 2024-01-01, matching futures."
57,1,57#1,304,number,57,57.
51,2,51#2,309,date,2020-03-09,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,date,2019-02-27,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,date,2020-07-01,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,code,S06R,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,code,S04,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,code,R2,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,number,51,51.
51,2,51#2,309,number,42,"Circuit-breaker halts are in the exchange log, so excluding them uses the exchange record rather than the realized proxy and stays inside item 42."
51,2,51#2,309,number,3,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,number,03,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,number,03,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,number,03,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
51,2,51#2,309,number,03,"Sessions from S06R Phase 3: 2020-03-09, 03-12, 03-18, 03-23, 03-24, plus 2019-02-27 and 2020-07-01 which sit in the S04 R2 degraded-condition set and are excluded on that documented ground."
